"activity_label" "subject_id" "variable" "avg"
"1" "WALKING" 1 "fBodyAcc-mean()-X" -0.202794306326316
"2" "WALKING" 1 "fBodyAcc-mean()-Y" 0.0897127264021053
"3" "WALKING" 1 "fBodyAcc-mean()-Z" -0.331560117789474
"4" "WALKING" 1 "fBodyAcc-meanFreq()-X" -0.207548374494737
"5" "WALKING" 1 "fBodyAcc-meanFreq()-Y" 0.113093646103158
"6" "WALKING" 1 "fBodyAcc-meanFreq()-Z" 0.0497265196172632
"7" "WALKING" 1 "fBodyAcc-std()-X" -0.319134719578947
"8" "WALKING" 1 "fBodyAcc-std()-Y" 0.056040006846
"9" "WALKING" 1 "fBodyAcc-std()-Z" -0.279686751494737
"10" "WALKING" 1 "fBodyAccJerk-mean()-X" -0.170546964549579
"11" "WALKING" 1 "fBodyAccJerk-mean()-Y" -0.0352255241130632
"12" "WALKING" 1 "fBodyAccJerk-mean()-Z" -0.468999224631579
"13" "WALKING" 1 "fBodyAccJerk-meanFreq()-X" -0.209261973376842
"14" "WALKING" 1 "fBodyAccJerk-meanFreq()-Y" -0.386237143210526
"15" "WALKING" 1 "fBodyAccJerk-meanFreq()-Z" -0.185530281244211
"16" "WALKING" 1 "fBodyAccJerk-std()-X" -0.133586606326316
"17" "WALKING" 1 "fBodyAccJerk-std()-Y" 0.106739857136
"18" "WALKING" 1 "fBodyAccJerk-std()-Z" -0.534713440421053
"19" "WALKING" 1 "fBodyAccMag-mean()" -0.128623450629474
"20" "WALKING" 1 "fBodyAccMag-meanFreq()" 0.1906437244
"21" "WALKING" 1 "fBodyAccMag-std()" -0.398032586842105
"22" "WALKING" 1 "fBodyBodyAccJerkMag-mean()" -0.0571194000343158
"23" "WALKING" 1 "fBodyBodyAccJerkMag-meanFreq()" 0.0938221807027368
"24" "WALKING" 1 "fBodyBodyAccJerkMag-std()" -0.103492403002105
"25" "WALKING" 1 "fBodyBodyGyroJerkMag-mean()" -0.319308593778947
"26" "WALKING" 1 "fBodyBodyGyroJerkMag-meanFreq()" 0.190663448793684
"27" "WALKING" 1 "fBodyBodyGyroJerkMag-std()" -0.381601911789474
"28" "WALKING" 1 "fBodyBodyGyroMag-mean()" -0.199252568986316
"29" "WALKING" 1 "fBodyBodyGyroMag-meanFreq()" 0.268844367525895
"30" "WALKING" 1 "fBodyBodyGyroMag-std()" -0.321017953894737
"31" "WALKING" 1 "fBodyGyro-mean()-X" -0.339032197115789
"32" "WALKING" 1 "fBodyGyro-mean()-Y" -0.103059416434737
"33" "WALKING" 1 "fBodyGyro-mean()-Z" -0.255940940315789
"34" "WALKING" 1 "fBodyGyro-meanFreq()-X" 0.0147844986621053
"35" "WALKING" 1 "fBodyGyro-meanFreq()-Y" -0.0657746190010526
"36" "WALKING" 1 "fBodyGyro-meanFreq()-Z" 0.00077332156431579
"37" "WALKING" 1 "fBodyGyro-std()-X" -0.516691938736842
"38" "WALKING" 1 "fBodyGyro-std()-Y" -0.0335081597884211
"39" "WALKING" 1 "fBodyGyro-std()-Z" -0.436562227473684
"40" "WALKING" 1 "tBodyAcc-mean()-X" 0.277330758736842
"41" "WALKING" 1 "tBodyAcc-mean()-Y" -0.0173838185273684
"42" "WALKING" 1 "tBodyAcc-mean()-Z" -0.111148103547368
"43" "WALKING" 1 "tBodyAcc-std()-X" -0.283740258842105
"44" "WALKING" 1 "tBodyAcc-std()-Y" 0.114461336747368
"45" "WALKING" 1 "tBodyAcc-std()-Z" -0.260027902210526
"46" "WALKING" 1 "tBodyAccJerk-mean()-X" 0.0740416333157895
"47" "WALKING" 1 "tBodyAccJerk-mean()-Y" 0.0282721095884211
"48" "WALKING" 1 "tBodyAccJerk-mean()-Z" -0.00416840617789474
"49" "WALKING" 1 "tBodyAccJerk-std()-X" -0.113615602435789
"50" "WALKING" 1 "tBodyAccJerk-std()-Y" 0.0670025007684211
"51" "WALKING" 1 "tBodyAccJerk-std()-Z" -0.502699788526316
"52" "WALKING" 1 "tBodyAccJerkMag-mean()" -0.141428809031579
"53" "WALKING" 1 "tBodyAccJerkMag-std()" -0.0744717500625263
"54" "WALKING" 1 "tBodyAccMag-mean()" -0.136971176556842
"55" "WALKING" 1 "tBodyAccMag-std()" -0.219688645631579
"56" "WALKING" 1 "tBodyGyro-mean()-X" -0.041830963526
"57" "WALKING" 1 "tBodyGyro-mean()-Y" -0.0695300462115789
"58" "WALKING" 1 "tBodyGyro-mean()-Z" 0.0849448173042105
"59" "WALKING" 1 "tBodyGyro-std()-X" -0.473535485894737
"60" "WALKING" 1 "tBodyGyro-std()-Y" -0.0546077686594737
"61" "WALKING" 1 "tBodyGyro-std()-Z" -0.344266629473684
"62" "WALKING" 1 "tBodyGyroJerk-mean()-X" -0.0899975423705263
"63" "WALKING" 1 "tBodyGyroJerk-mean()-Y" -0.0398428709463158
"64" "WALKING" 1 "tBodyGyroJerk-mean()-Z" -0.0461309295021053
